dia,prob_neg_jara,prob_neg_kast,prob_pos_jara,prob_pos_kast,n_jara,n_kast,dif_neg_jara_menos_kast,dif_pos_jara_menos_kast,ventana_eleccion,es_debate
2025-08-05,0.0,,0.0,,1.0,,,,resto,0
2025-08-06,0.42424242424242425,1.0,0.0,0.0,33.0,14.0,-0.5757575757575757,0.0,resto,0
2025-08-07,0.6666666666666666,0.0,0.0,0.0,6.0,1.0,0.6666666666666666,0.0,resto,0
2025-08-08,,0.6,,0.0,,5.0,,,resto,0
2025-08-09,0.0,0.75,0.0,0.0,7.0,4.0,-0.75,0.0,resto,0
2025-08-10,0.5384615384615384,0.6666666666666666,0.07692307692307693,0.0,13.0,3.0,-0.1282051282051282,0.07692307692307693,resto,0
2025-08-11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,resto,0
2025-08-12,0.65,0.8571428571428571,0.05,0.07142857142857142,20.0,14.0,-0.20714285714285707,-0.021428571428571422,resto,0
2025-08-13,1.0,0.7777777777777778,0.0,0.0,8.0,9.0,0.2222222222222222,0.0,resto,0
2025-08-14,,0.6,,0.2,,5.0,,,resto,0
2025-08-15,0.0,,0.0,,1.0,,,,resto,0
2025-08-16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,resto,0
2025-08-17,0.5,0.0,0.0,0.0,2.0,1.0,0.5,0.0,resto,0
2025-08-18,0.6666666666666666,0.4,0.0,0.0,9.0,10.0,0.2666666666666666,0.0,resto,0
2025-08-19,0.9,0.6,0.0,0.0,10.0,5.0,0.30000000000000004,0.0,resto,0
2025-08-20,0.5,0.6,0.0,0.1,4.0,10.0,-0.09999999999999998,-0.1,resto,0
2025-08-21,0.7272727272727273,0.6666666666666666,0.09090909090909091,0.06666666666666667,11.0,15.0,0.06060606060606066,0.024242424242424246,resto,0
2025-08-22,0.06666666666666667,0.7083333333333334,0.13333333333333333,0.08333333333333333,15.0,24.0,-0.6416666666666667,0.05,resto,0
2025-08-23,0.25,0.6153846153846154,0.0,0.0,4.0,13.0,-0.3653846153846154,0.0,resto,0
2025-08-24,0.3333333333333333,0.6923076923076923,0.0,0.05128205128205128,9.0,39.0,-0.358974358974359,-0.05128205128205128,resto,0
2025-08-25,0.3333333333333333,0.625,0.0,0.0625,6.0,16.0,-0.2916666666666667,-0.0625,resto,0
2025-08-26,0.5,0.75,0.0,0.0,2.0,8.0,-0.25,0.0,resto,0
2025-08-27,0.375,0.8461538461538461,0.0,0.0,8.0,13.0,-0.47115384615384615,0.0,resto,0
2025-08-28,0.8333333333333334,0.6666666666666666,0.0,0.0,6.0,3.0,0.16666666666666674,0.0,resto,0
2025-08-29,0.6666666666666666,1.0,0.0,0.0,9.0,2.0,-0.33333333333333337,0.0,resto,0
2025-08-30,0.0,0.7272727272727273,0.0,0.0,9.0,11.0,-0.7272727272727273,0.0,resto,0
2025-08-31,0.7272727272727273,0.5714285714285714,0.0,0.14285714285714285,11.0,7.0,0.1558441558441559,-0.14285714285714285,resto,0
2025-09-01,0.5,0.5714285714285714,0.5,0.14285714285714285,2.0,7.0,-0.0714285714285714,0.35714285714285715,resto,0
2025-09-02,0.2,0.8888888888888888,0.2,0.0,5.0,9.0,-0.6888888888888889,0.2,resto,0
2025-09-03,0.6,0.6666666666666666,0.1,0.16666666666666666,10.0,6.0,-0.06666666666666665,-0.06666666666666665,resto,0
2025-09-04,0.1875,0.813953488372093,0.0625,0.023255813953488372,16.0,43.0,-0.626453488372093,0.03924418604651163,resto,0
2025-09-05,0.2222222222222222,0.64,0.0,0.0,9.0,25.0,-0.4177777777777778,0.0,resto,0
2025-09-06,0.8333333333333334,0.8333333333333334,0.0,0.0,6.0,12.0,0.0,0.0,resto,0
2025-09-07,0.6,0.8,0.0,0.0,5.0,5.0,-0.20000000000000007,0.0,resto,0
2025-09-08,0.4,0.6551724137931034,0.2,0.13793103448275862,5.0,29.0,-0.2551724137931034,0.06206896551724139,resto,0
2025-09-09,1.0,,0.0,,7.0,,,,resto,0
2025-09-10,0.9230769230769231,0.8181818181818182,0.07692307692307693,0.0,13.0,11.0,0.1048951048951049,0.07692307692307693,resto,1
2025-09-11,0.47058823529411764,0.5454545454545454,0.058823529411764705,0.045454545454545456,34.0,22.0,-0.07486631016042777,0.01336898395721925,resto,0
2025-09-12,0.42857142857142855,0.6190476190476191,0.07142857142857142,0.09523809523809523,14.0,21.0,-0.19047619047619052,-0.023809523809523808,resto,0
2025-09-13,0.5294117647058824,0.6,0.0,0.0,17.0,5.0,-0.07058823529411762,0.0,resto,0
2025-09-14,0.55,0.55,0.1,0.1,20.0,20.0,0.0,0.0,resto,0
2025-09-15,0.5,0.42857142857142855,0.0,0.14285714285714285,4.0,7.0,0.07142857142857145,-0.14285714285714285,resto,0
2025-09-16,1.0,0.75,0.0,0.0,1.0,4.0,0.25,0.0,resto,0
2025-09-17,0.0,0.8571428571428571,0.0,0.0,2.0,7.0,-0.8571428571428571,0.0,resto,0
2025-09-18,,1.0,,0.0,,1.0,,,resto,0
2025-09-19,0.2,0.6666666666666666,0.1,0.0,10.0,6.0,-0.4666666666666666,0.1,resto,0
2025-09-20,0.6666666666666666,0.875,0.16666666666666666,0.125,6.0,8.0,-0.20833333333333337,0.04166666666666666,resto,0
2025-09-21,0.4,1.0,0.0,0.0,5.0,3.0,-0.6,0.0,resto,0
2025-09-22,0.4,0.6428571428571429,0.0,0.0,5.0,14.0,-0.24285714285714288,0.0,resto,0
2025-09-23,1.0,0.7142857142857143,0.0,0.0,2.0,7.0,0.2857142857142857,0.0,resto,0
2025-09-24,,0.75,,0.0,,4.0,,,resto,0
2025-09-25,0.8333333333333334,0.8,0.0,0.0,6.0,15.0,0.033333333333333326,0.0,resto,1
2025-09-26,,0.5,,0.1,,10.0,,,resto,1
2025-09-27,0.4,0.375,0.0,0.0,10.0,8.0,0.025000000000000022,0.0,resto,0
2025-09-28,0.75,0.4444444444444444,0.0,0.3333333333333333,4.0,9.0,0.3055555555555556,-0.3333333333333333,resto,0
2025-09-29,0.75,0.8333333333333334,0.0,0.0,4.0,6.0,-0.08333333333333337,0.0,resto,0
2025-09-30,0.5,0.8333333333333334,0.0,0.0,6.0,12.0,-0.33333333333333337,0.0,resto,1
2025-10-01,0.4,0.7,0.08571428571428572,0.1,35.0,20.0,-0.29999999999999993,-0.01428571428571429,resto,0
2025-10-02,0.6,0.7857142857142857,0.2,0.03571428571428571,5.0,28.0,-0.18571428571428572,0.1642857142857143,resto,0
2025-10-03,0.6666666666666666,0.45454545454545453,0.0,0.0,6.0,11.0,0.2121212121212121,0.0,resto,0
2025-10-04,0.75,0.8,0.0,0.2,4.0,5.0,-0.050000000000000044,-0.2,resto,0
2025-10-05,0.75,0.8,0.0,0.0,24.0,10.0,-0.050000000000000044,0.0,resto,0
2025-10-06,0.42857142857142855,0.631578947368421,0.07142857142857142,0.0,14.0,19.0,-0.20300751879699247,0.07142857142857142,resto,0
2025-10-07,0.16666666666666666,0.6,0.0,0.0,6.0,10.0,-0.43333333333333335,0.0,resto,0
2025-10-08,0.6666666666666666,1.0,0.0,0.0,6.0,7.0,-0.33333333333333337,0.0,resto,0
2025-10-09,1.0,0.5,0.0,0.3333333333333333,2.0,6.0,0.5,-0.3333333333333333,resto,0
2025-10-10,0.6666666666666666,0.9230769230769231,0.0,0.0,15.0,13.0,-0.2564102564102565,0.0,resto,0
2025-10-11,0.5263157894736842,0.5238095238095238,0.05263157894736842,0.0,19.0,21.0,0.0025062656641603454,0.05263157894736842,resto,0
2025-10-12,0.3333333333333333,0.7333333333333333,0.1111111111111111,0.0,9.0,15.0,-0.39999999999999997,0.1111111111111111,resto,0
2025-10-13,0.5789473684210527,0.7222222222222222,0.05263157894736842,0.05555555555555555,19.0,36.0,-0.14327485380116955,-0.0029239766081871343,resto,0
2025-10-14,0.8333333333333334,0.625,0.16666666666666666,0.0625,6.0,16.0,0.20833333333333337,0.10416666666666666,resto,1
2025-10-15,0.625,0.625,0.0,0.125,8.0,8.0,0.0,-0.125,resto,0
2025-10-16,0.75,0.7368421052631579,0.0,0.0,12.0,19.0,0.013157894736842146,0.0,resto,0
2025-10-17,0.3333333333333333,1.0,0.3333333333333333,0.0,3.0,4.0,-0.6666666666666667,0.3333333333333333,resto,0
2025-10-18,0.38461538461538464,0.6521739130434783,0.07692307692307693,0.0,13.0,23.0,-0.26755852842809363,0.07692307692307693,resto,0
2025-10-19,0.36363636363636365,0.46153846153846156,0.0,0.0,11.0,13.0,-0.09790209790209792,0.0,resto,0
2025-10-20,0.3333333333333333,0.7777777777777778,0.0,0.022222222222222223,3.0,45.0,-0.4444444444444445,-0.022222222222222223,resto,0
2025-10-21,0.5,1.0,0.0,0.0,6.0,1.0,-0.5,0.0,resto,0
2025-10-22,0.5,0.6891891891891891,0.043478260869565216,0.02702702702702703,92.0,74.0,-0.18918918918918914,0.016451233842538188,resto,0
2025-10-23,0.6571428571428571,0.8421052631578947,0.0,0.0,35.0,19.0,-0.18496240601503755,0.0,resto,0
2025-10-24,0.5,0.8333333333333334,0.09090909090909091,0.0,22.0,18.0,-0.33333333333333337,0.09090909090909091,resto,0
2025-10-25,0.2,0.6666666666666666,0.1,0.0,10.0,15.0,-0.4666666666666666,0.1,resto,0
2025-10-26,0.16666666666666666,0.5849056603773585,0.08333333333333333,0.11320754716981132,24.0,53.0,-0.41823899371069184,-0.029874213836477995,resto,1
2025-10-27,0.23529411764705882,0.6129032258064516,0.17647058823529413,0.12903225806451613,17.0,31.0,-0.3776091081593928,0.047438330170778004,resto,1
2025-10-28,0.2916666666666667,0.5714285714285714,0.041666666666666664,0.14285714285714285,24.0,7.0,-0.2797619047619047,-0.10119047619047619,resto,0
2025-10-29,0.6666666666666666,0.7692307692307693,0.16666666666666666,0.05128205128205128,6.0,39.0,-0.10256410256410264,0.11538461538461538,resto,0
2025-10-30,0.37037037037037035,0.75,0.1111111111111111,0.0625,27.0,32.0,-0.37962962962962965,0.048611111111111105,resto,0
2025-10-31,0.3684210526315789,0.5625,0.10526315789473684,0.0,38.0,16.0,-0.19407894736842107,0.10526315789473684,resto,0
2025-11-01,0.23076923076923078,0.5833333333333334,0.0,0.0,13.0,12.0,-0.3525641025641026,0.0,resto,0
2025-11-02,0.6666666666666666,1.0,0.0,0.0,3.0,11.0,-0.33333333333333337,0.0,resto,0
2025-11-03,0.56,0.7435897435897436,0.12,0.05128205128205128,25.0,39.0,-0.18358974358974356,0.06871794871794872,resto,0
2025-11-04,0.5625,0.75,0.0,0.0,16.0,4.0,-0.1875,0.0,resto,1
2025-11-05,0.17647058823529413,0.7692307692307693,0.0,0.0,17.0,13.0,-0.5927601809954751,0.0,resto,0
2025-11-06,0.7058823529411765,0.6052631578947368,0.0,0.10526315789473684,17.0,38.0,0.10061919504643968,-0.10526315789473684,resto,0
2025-11-07,0.1,0.8275862068965517,0.0,0.0,10.0,29.0,-0.7275862068965517,0.0,resto,0
2025-11-08,0.16666666666666666,0.5789473684210527,0.16666666666666666,0.05263157894736842,6.0,19.0,-0.412280701754386,0.11403508771929824,resto,0
2025-11-09,0.4,1.0,0.2,0.0,10.0,10.0,-0.6,0.2,resto,0
2025-11-10,0.5,0.7916666666666666,0.125,0.0,16.0,24.0,-0.29166666666666663,0.125,resto,1
2025-11-11,0.4727272727272727,0.7894736842105263,0.09090909090909091,0.02631578947368421,55.0,38.0,-0.3167464114832536,0.0645933014354067,resto,0
2025-11-12,0.3835616438356164,0.7169811320754716,0.0821917808219178,0.018867924528301886,73.0,53.0,-0.33341948823985523,0.06332385629361592,resto,0
2025-11-13,0.5,0.825,0.0875,0.025,80.0,40.0,-0.32499999999999996,0.06249999999999999,resto,0
2025-11-14,0.15789473684210525,0.696969696969697,0.21052631578947367,0.0,38.0,33.0,-0.5390749601275917,0.21052631578947367,resto,0
2025-11-15,0.6428571428571429,0.5714285714285714,0.03571428571428571,0.2857142857142857,28.0,7.0,0.07142857142857151,-0.25,resto,0
2025-11-16,0.4161849710982659,0.5944700460829493,0.06358381502890173,0.10138248847926268,173.0,217.0,-0.17828507498468338,-0.03779867345036095,resto,0
2025-11-17,0.40540540540540543,0.6777777777777778,0.013513513513513514,0.03888888888888889,74.0,180.0,-0.2723723723723724,-0.025375375375375375,resto,0
2025-11-18,0.46846846846846846,0.6774193548387096,0.06306306306306306,0.04032258064516129,111.0,124.0,-0.20895088637024117,0.022740482417901768,resto,0
2025-11-19,0.43478260869565216,0.6930232558139535,0.034782608695652174,0.037209302325581395,115.0,215.0,-0.25824064711830136,-0.0024266936299292205,resto,0
2025-11-20,0.45121951219512196,0.75,0.10975609756097561,0.047619047619047616,82.0,84.0,-0.29878048780487804,0.062137049941927994,resto,0
2025-11-21,0.5862068965517241,0.5714285714285714,0.06896551724137931,0.05102040816326531,58.0,98.0,0.014778325123152691,0.017945109078114002,resto,0
2025-11-22,0.5094339622641509,0.7096774193548387,0.018867924528301886,0.04838709677419355,53.0,62.0,-0.2002434570906878,-0.02951917224589166,resto,0
2025-11-23,0.4473684210526316,0.5802469135802469,0.039473684210526314,0.06172839506172839,76.0,81.0,-0.13287849252761536,-0.022254710851202078,resto,0
2025-11-24,0.42857142857142855,0.6451612903225806,0.14285714285714285,0.08064516129032258,14.0,62.0,-0.21658986175115208,0.06221198156682027,resto,0
2025-11-25,0.3333333333333333,0.723404255319149,0.03333333333333333,0.05319148936170213,30.0,94.0,-0.39007092198581567,-0.019858156028368795,resto,0
2025-11-26,0.3333333333333333,0.7607655502392344,0.047619047619047616,0.0430622009569378,63.0,209.0,-0.4274322169059011,0.004556846662109815,resto,0
2025-11-27,0.19642857142857142,0.75,0.0,0.013157894736842105,56.0,76.0,-0.5535714285714286,-0.013157894736842105,resto,0
2025-11-28,0.12121212121212122,0.7571428571428571,0.030303030303030304,0.014285714285714285,33.0,70.0,-0.6359307359307359,0.01601731601731602,resto,0
2025-11-29,0.6071428571428571,0.5555555555555556,0.0,0.1111111111111111,28.0,9.0,0.051587301587301515,-0.1111111111111111,resto,0
2025-11-30,0.5185185185185185,0.8571428571428571,0.037037037037037035,0.0,27.0,35.0,-0.3386243386243386,0.037037037037037035,resto,0
2025-12-01,0.6666666666666666,0.675,0.0,0.0,3.0,40.0,-0.008333333333333415,0.0,resto,0
2025-12-02,0.32432432432432434,0.75,0.0,0.019230769230769232,37.0,52.0,-0.42567567567567566,-0.019230769230769232,resto,0
2025-12-03,0.6463414634146342,0.7209302325581395,0.036585365853658534,0.06201550387596899,82.0,129.0,-0.07458876914350532,-0.025430138022310457,resto,1
2025-12-04,0.2564102564102564,0.6285714285714286,0.15384615384615385,0.0380952380952381,39.0,105.0,-0.37216117216117217,0.11575091575091576,resto,0
2025-12-05,0.5,0.6436781609195402,0.10714285714285714,0.04597701149425287,28.0,87.0,-0.14367816091954022,0.061165845648604264,resto,0
2025-12-06,0.2777777777777778,0.7454545454545455,0.05555555555555555,0.045454545454545456,36.0,110.0,-0.4676767676767677,0.010101010101010097,resto,0
2025-12-07,0.0,0.8095238095238095,0.0,0.0,19.0,21.0,-0.8095238095238095,0.0,resto,0
2025-12-08,0.0,0.6923076923076923,0.3333333333333333,0.0,3.0,13.0,-0.6923076923076923,0.3333333333333333,resto,0
2025-12-09,0.5,0.7586206896551724,0.045454545454545456,0.0,22.0,29.0,-0.2586206896551724,0.045454545454545456,resto,1
2025-12-10,0.48148148148148145,0.6571428571428571,0.046296296296296294,0.05714285714285714,108.0,105.0,-0.17566137566137568,-0.010846560846560847,resto,0
2025-12-11,0.5283018867924528,0.7096774193548387,0.07547169811320754,0.0,53.0,93.0,-0.18137553256238592,0.07547169811320754,resto,0
2025-12-12,0.6,0.6833333333333333,0.13333333333333333,0.016666666666666666,15.0,60.0,-0.08333333333333337,0.11666666666666667,resto,0
2025-12-13,0.3380281690140845,0.6973684210526315,0.2112676056338028,0.02631578947368421,71.0,76.0,-0.359340252038547,0.1849518161601186,ventana_eleccion,0
2025-12-14,0.4492753623188406,0.6102564102564103,0.057971014492753624,0.041025641025641026,69.0,195.0,-0.16098104793756973,0.0169453734671126,ventana_eleccion,0
2025-12-15,0.38095238095238093,0.6242424242424243,0.015873015873015872,0.09696969696969697,63.0,165.0,-0.24329004329004333,-0.0810966810966811,ventana_eleccion,0
2025-12-16,0.75,0.6666666666666666,0.0,0.07407407407407407,12.0,108.0,0.08333333333333337,-0.07407407407407407,ventana_eleccion,0
2025-12-17,0.35294117647058826,0.589041095890411,0.058823529411764705,0.0410958904109589,17.0,73.0,-0.23609991941982272,0.017727639000805803,ventana_eleccion,0
2025-12-18,0.75,0.6063829787234043,0.0,0.0425531914893617,8.0,94.0,0.1436170212765957,-0.0425531914893617,ventana_eleccion,0
2025-12-19,1.0,0.5490196078431373,0.0,0.0392156862745098,1.0,51.0,0.4509803921568627,-0.0392156862745098,ventana_eleccion,0
2025-12-20,0.5,0.8,0.5,0.13333333333333333,2.0,15.0,-0.30000000000000004,0.3666666666666667,resto,0
2025-12-21,1.0,0.8695652173913043,0.0,0.0,1.0,23.0,0.13043478260869568,0.0,resto,0
2025-12-22,0.5,0.6333333333333333,0.0,0.13333333333333333,6.0,30.0,-0.1333333333333333,-0.13333333333333333,resto,0
2025-12-23,0.4166666666666667,0.7727272727272727,0.16666666666666666,0.0,12.0,22.0,-0.356060606060606,0.16666666666666666,resto,0
2025-12-24,,0.5806451612903226,,0.0967741935483871,,31.0,,,resto,0
2025-12-25,,0.8571428571428571,,0.0,,7.0,,,resto,0
2025-12-26,,0.5,,0.0,,8.0,,,resto,0
2025-12-27,0.4666666666666667,0.7142857142857143,0.0,0.0,15.0,7.0,-0.24761904761904763,0.0,resto,0
2025-12-28,0.0,0.45454545454545453,0.0,0.13636363636363635,1.0,22.0,-0.45454545454545453,-0.13636363636363635,resto,0
2025-12-29,0.0,0.6,0.0,0.0,1.0,5.0,-0.6,0.0,resto,0
2025-12-31,0.0,0.3333333333333333,0.0,0.0,1.0,3.0,-0.3333333333333333,0.0,resto,0
2026-01-01,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,resto,0
2026-01-02,,0.5,,0.0,,2.0,,,resto,0
2026-01-06,0.0,,0.0,,1.0,,,,resto,0
2026-01-08,0.0,0.6666666666666666,0.0,0.0,1.0,3.0,-0.6666666666666666,0.0,resto,0
2026-01-09,,0.6666666666666666,,0.0,,3.0,,,resto,0
2026-01-11,0.0,1.0,0.0,0.0,1.0,4.0,-1.0,0.0,resto,0
2026-01-13,,1.0,,0.0,,1.0,,,resto,0
2026-01-15,,1.0,,0.0,,1.0,,,resto,0
2026-01-16,,0.6666666666666666,,0.0,,6.0,,,resto,0
2026-01-17,,1.0,,0.0,,2.0,,,resto,0
2026-01-18,,1.0,,0.0,,3.0,,,resto,0
2026-01-19,,0.3333333333333333,,0.3333333333333333,,6.0,,,resto,0
2026-01-20,0.0,0.7916666666666666,0.0,0.041666666666666664,1.0,24.0,-0.7916666666666666,-0.041666666666666664,resto,0
2026-01-21,0.0,0.64,0.0,0.12,1.0,25.0,-0.64,-0.12,resto,0
2026-01-22,,1.0,,0.0,,2.0,,,resto,0
